acp-5,343
aha-1,12
ahr-1,13
alr-1,14
aly-1,15
aly-2,16
ama-1,292
aptf-1,17
aptf-4,308
apx-1,6
arid-1,18
ast-1,19
atf-2,344
atf-7,20
atfs-1,21
athp-1,22
attf-2,330
attf-4,336
b0310.2,303
baz-2,23
bcl-11,24
bed-3,25
blmp-1,26
bnc-1,27
c05b5.4,345
c25d7.10,323
c50f7.5,291
camt-1,29
ccch-2,347
ccch-5,348
cdc-5l,299
cebp-1,30
cebp-2,349
ceh-1,31
ceh-10,38
ceh-12,39
ceh-13,40
ceh-14,41
ceh-16,42
ceh-17,43
ceh-18,44
ceh-19,45
ceh-2,32
ceh-20,46
ceh-21,306
ceh-22,47
ceh-23,48
ceh-24,49
ceh-26,329
ceh-27,50
ceh-28,51
ceh-30,52
ceh-31,53
ceh-32,54
ceh-33,55
ceh-34,56
ceh-36,57
ceh-38,58
ceh-39,59
ceh-40,60
ceh-41,61
ceh-43,62
ceh-44,63
ceh-45,64
ceh-48,65
ceh-5,33
ceh-51,66
ceh-53,67
ceh-54,68
ceh-58,350
ceh-6,34
ceh-60,69
ceh-7,35
ceh-74,70
ceh-8,36
ceh-82,71
ceh-83,72
ceh-86,351
ceh-88,73
ceh-9,37
ceh-90,74
ceh-93,352
cep-1,353
cep-1.b,332
ces-1,354
ces-2,75
cfi-1,76
cfz-2,9
chd-7,355
che-1,77
cnd-1,78
cog-1,79
copa-1,356
cpl-1,357
crh-2,80
cwn-1,283
cwn-2,11
daf-12,83
daf-16,358
daf-19,84
daf-3,81
daf-8,82
dhhc-10,314
die-1,287
dmd-4,85
dmd-5,86
dnj-17,87
dpff-1,88
dpl-1,89
dpy-30,359
dpy-31,337
dpy-7,286
drr-1,360
dsc-1,90
dsl-1,293
duxl-1,91
dve-1,92
dyf-7,276
eef-1a.1,280
efl-1,93
efl-3,94
egl-1,404
egl-13,96
egl-18,97
egl-27,361
egl-27.b,284
egl-27.c,324
egl-38,98
egl-44,99
egl-46,100
egl-5,95
egrh-1,101
elf-1,407
elt-1,102
elt-2,103
elt-3,104
elt-4,105
elt-6,106
elt-7,107
end-1,108
end-3,109
eor-1,110
eppl-1,392
ets-4,111
ets-5,112
ets-7,113
ets-8,114
ets-9,115
eyg-1,116
f13c5.2,362
f16b12.6,322
f17c11.1,339
f19f10.1,117
f21d5.9,304
f22d6.2,363
f23b12.7,119
f32h2.6,364
f36a2.3,365
f37b4.10,366
f38c2.7,302
f54f2.9,120
f57a8.1,369
f57c9.4,370
fax-1,121
fkh-10,127
fkh-2,122
fkh-3,123
fkh-4,124
fkh-6,125
fkh-8,126
flh-1,371
flh-3,372
fos-1,128
gadr-1,334
gei-3,129
ges-1,279
glp-1,4
gmeb-1,130
gmeb-2,131
gmeb-3,132
ham-2,133
hbl-1,134
hinf-1,367
his-72,282
hlh-1,2
hlh-11,139
hlh-12,140
hlh-13,408
hlh-14,141
hlh-15,142
hlh-16,298
hlh-17,143
hlh-19,373
hlh-2,135
hlh-25,144
hlh-26,285
hlh-29,409
hlh-3,136
hlh-30,145
hlh-4,137
hlh-6,410
hlh-8,138
hmbx-1,146
hmg-1.2,321
hmg-11,335
hmg-20,149
hmg-3,147
hmg-4,148
hnd-1,150
hsf-1,374
hsp-3,281
icd-2,375
irx-1,151
isw-1,326
k09a11.1,152
k10b3.5,153
klf-3,154
lag-1,155
lag-2,5
let-381,156
lgmn-1,331
lim-4,157
lim-6,158
lim-7,159
lin-1,160
lin-11,161
lin-12,3
lin-13,162
lin-15b,163
lin-22,164
lin-26,165
lin-31,166
lin-32,167
lin-39,168
lin-40,377
lin-48,169
lir-2,341
lpd-2,378
lsl-1,170
lsy-2,171
lsy-27,312
m03d4.4,172
mab-5,319
mab-9,173
madf-10,297
mbf-1,174
mdl-1,175
mec-3,176
med-1,177
med-2,178
mef-2,179
mel-28,338
mep-1,180
mes-4,379
mig-1,8
mir-57,277
mir-61,278
mls-1,181
mls-2,182
mml-1,183
mnm-2,315
moe-3,309
mom-2,10
mom-5,7
myrf-2,318
nfi-1,184
nfya-1,185
nfyb-1,328
nfyc-1,186
ngn-1,187
nhr-10,189
nhr-102,197
nhr-12,190
nhr-127,198
nhr-15,380
nhr-171,300
nhr-186,199
nhr-2,288
nhr-23,191
nhr-232,200
nhr-25,1
nhr-28,381
nhr-34,382
nhr-35,192
nhr-49,193
nhr-57,296
nhr-6,188
nhr-64,383
nhr-67,194
nhr-68,313
nhr-69,316
nhr-71,384
nhr-76,195
nhr-79,295
nhr-85,196
nob-1,201
npax-4,202
nurf-1,385
odd-2,203
oef-1,368
pag-3,204
pal-1,205
pax-1,206
pax-3,207
pbrm-1,340
pes-1,208
pes-10,386
pgp-2,342
pgp-3,289
pha-2,209
pha-4,210
php-3,211
pnp-1,376
pop-1,212
pqm-1,213
pros-1,214
r02d3.7,387
r144.3,327
rad-26,311
rbm-26,325
rcor-1,215
ref-1,216
ref-2,217
repo-1,388
rml-5,400
rnt-1,218
saeg-2,305
sbp-1,411
sdc-2,317
sdz-28,290
sdz-38,219
sea-1,220
sel-8,221
sem-2,222
sem-4,223
sex-1,389
skn-1,224
skr-8,301
sma-2,225
sma-9,310
snai-1,226
snfc-5,406
snu-66,118
somi-1,390
sox-2,227
sox-4,228
spr-4,229
sprp-4,346
sptf-1,230
sup-37,391
svh-5,231
swsn-7,232
syd-9,233
sys-1,412
t07f8.4,234
t19b10.2,393
t20f7.1,394
t22c8.3,320
t28h10.3,395
tab-1,236
tads-1,405
tag-68,237
tbx-11,242
tbx-2,238
tbx-35,243
tbx-36,244
tbx-37,245
tbx-38,246
tbx-7,239
tbx-8,240
tbx-9,241
tlp-1,247
tps-2,333
tsct-1,235
ttx-1,248
ttx-3,249
unc-120,259
unc-130,260
unc-3,250
unc-30,252
unc-37,253
unc-39,254
unc-4,251
unc-42,255
unc-55,256
unc-62,257
unc-86,258
vab-15,263
vab-23,396
vab-3,261
vab-7,262
wrm-1,397
y116a8c.19,398
y116a8c.20,399
y48g1c.6,264
y56a3a.28,266
y73e7a.1,267
y75b8a.6,268
zag-1,269
zfh-2,270
zip-3,271
zip-8,272
zk185.1,307
znf-622,28
znf-782,265
ztf-11,274
ztf-12,294
ztf-13,401
ztf-16,402
ztf-3,403
ztf-30,275
ztf-6,273
